Band,Lyrics,Song
Elijah Blake,"No, no
I ain't ever trapped out the bando
But oh Lord, don't get me wrong
I know a couple niggas that do
I'm from a place where everybody knows your name
They say I gotta watch my attitude
When they see money, man they all start actin' strange
So fuck with the ones that fuck with you
They can never say I'm brand new

It's everyday, everyday
Everyday, everyday, everyday
Everyday, everyday
Everyday, everyday
I've been talkin' my shit, nigga that's regular
I've been lovin' 'em thick, life is spectacular
I spend like I'ma die rich, nigga I'm flexin', yeah
Everyday, that's everyday
That's everyday
That's everyday
That's everyday, everyday

I see all of these wanna-be hot R&B singers
I swear you all sound the same
They start from the bottom, so far from the motto
You niggas'll never be Drake
Shout out to OVO
Most of them prolly don't know me though
I stay in the cut, I don't fuck with no
Body but I D, that's a pun on No I.D
When nobody know my name
Runnin' for my dream wasn't hard to do
You break bread, I swear they all pull out a plate
Eat with the ones who starved with you
If I'm winnin' then my crew can't lose

It's everyday, everyday
Everyday, everyday, everyday
Everyday, everyday
Everyday, everyday
I've been talkin' my shit, nigga that's regular
I've been lovin' 'em thick, life is spectacular
I spend like I'ma die rich, nigga I'm flexin', yeah
Everyday, that's everyday
That's everyday
That's everyday
That's everyday, everyday

I heard since you got money
You changed, you're actin' funny
That's why I gets on my lonely
You be lovin' when change is a hobby
Who do you dress when you ain't got nobody?

It's everyday, everyday
Everyday, everyday, everyday
Everyday, everyday
Everyday, everyday
I've been talkin' my shit, nigga that's regular
I've been lovin' 'em thick, life is spectacular
I spend like I'ma die rich, nigga I'm flexin', yeah
Everyday, that's everyday
That's everyday
That's everyday
That's everyday, everyday",Everyday
Elijah Blake,"The drinks go down and smoke goes up, I feel myself, got to let go
My cares get lost up in that crowd that go up, up and away yo

Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die

Ain't kill my vibe, don't blow my high, don't doubt that he from the band though
I'm listening to this song, now I'm up up and away yo

Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die
Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die
Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die

Nights like this, I go all out, up so high, I can't come down
Let me live just for right now
Yeah, yeah, bite me, I'm so gone

Happier than a motherfucker, I can't feel my fa-ace
No squares in my circle, get up out my way
Happier than a motherfucker, I can't feel my fa-ace
Who you tryna dance? Get up out my way
Happier than a motherfucker, I can't feel my fa-ace
No squares in my circle, get up out my way
Happier than a motherfucker, I can't feel my fa-ace
Who you tryna dance? Get up out my way

When I'm out at night, I chase neon lights
All of my thoughts start to echo, yeah they start to echo

Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die

So I'ma roll the dice, and I hope that I
Don't take more than I can handle, much than I can handle

Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die
Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die
Slow down the lights, eyes open wide
We live till we die, live till we die, live till we die

Nights like this, I go all out, up so high, I can't come down
Let me live just for right now
Yeah, yeah, bite me, I'm so gone

Happier than a motherfucker, I can't feel my fa-ace
No squares in my circle, get up out my way
Happier than a motherfucker, I can't feel my fa-ace
Who you tryna dance? Get up out my way
Happier than a motherfucker, I can't feel my fa-ace
No squares in my circle, get up out my way
Happier than a motherfucker, I can't feel my fa-ace
Who you tryna dance? Get up out my way",Live Till We Die
Elijah Blake,"She don't live on planet Earth no more
She found love on Venus, that's her word
Said she needed space, time to explore
Now she movin' on and on and on and on

Is it might fault that you're broken, is it my fault that your'e high?
You caught me cheating with my ex-girlfriend, but instead of calling me I caught her

I was like ""man, oh shit, my new girl fuckin' with my old chick""
We both bad, so she switched, packed her bags, said she had to take a trip
To the otherside, the otherside, the otherside
She's gone, she's gone, she's gone, to the otherside

Can we get back to how it was before?
If I can't have you, at least show me what's in store
And what I've made is [?] come forward more
Then we can go on and on and on and on

Is it might fault that you're broken, is it my fault that your high?
You caught me cheating with my ex-girlfriend, but instead of calling me, you called her

I was like ""man, oh shit, my new girl fuckin' with my old chick""
We broke bad, so she switched, packed her bags, said she had to take a trip
To the otherside, the otherside, the otherside
She's gone, she's gone, she's gone, to the otherside

She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside
She's gone to the otherside",The Otherside
Elijah Blake,"Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin', lights low

Baby I'm surprised you picked up this late at night
And I'm not tryna start a fight
But I hate the way we ended and the fact you got me cheated
I hate these new beginnings even though I am the reason
The only thing I love right now is you

I miss ya going through my phone
And calling up the numbers you don't know
The make up sex, even when it's wrong
Our love was that strong

[Hook 1]
I'm just trippin' off that Grigio
It sucks to see that you don't feel me though
Pour me a glass and let my feelings blow
Hell naw, this message ain't subliminal
Aw baby, pour me a drink to get over you
Aw baby, aw baby, I ain't no drinker but it's gettin' me though

Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin'

I don't know why your father never like me
Was it because of my [?]boy ways and this white tee? Your eye
Always thought your momma was a winner
Considering her only stayed together after all those years
You think that we could learn from them

I miss ya going through my phone
And calling up the numbers you don't know
The make up sex, even when it's wrong
Our love was that strong

Nights like this, we should be trippin' off that Grigio
Telling me secrets that nobody knows
Pour us a shot and cut the music on
Now let's get started, cut these fuckin' lights off
Aw baby, I'ma pour a drink for you
Aw baby, aw baby, I'ma pour a drink for you

Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin', lights low
Trippin' off that Grigio, mobbin'",Pinot
Elijah Blake,"I see a midnight panther, so gallant and so brave
I found, I found the answers in the thunder and the rain
You made a promise that you would never leave me alone
You broke your promise, and now I'm standing all alone

That's what I get for trusting love
That's what I get for trusting love
That's what I get for trusting love
That's what I get for trusting love

I see a fresh a cut diamond, coal minor's are dirty and cruel
Coffee, Frankie Lymon, why do fools fall in love?
I believe what you told me, when you only said the things I wanted to hear
Now I see, you are a phoney, and you're too [?] seem to mess sincere

Nah I'm not, nah I'm not, nah I'm
Nah I'm not, nah I'm not, nah I'm
Shadows and diamonds, diamonds

That's what I get for trusting love
That's what I get for trusting love
That's what I get for trusting love
That's what I get for trusting love",Shadows & Diamonds
Elijah Blake,"I just want to ready your mind
'Cause I'll still love you when you lie
Don't you be, be nobody, but yourself
That's who I love the most

When you smile slightly crooked
That's your style, don't you fix it
Girl you got a hold on me
Don't wanna play no games, this is do or die
And I don't mind if you get comfortable and gain a little weight
'Cause you're so fine, and just like whine you get a little better everyday

You're the only one, you're the only one
You're the only one, you're the only one
My baby

When the sun hits your eye
It turns a color, almost cocaine white
But you still see through blinding eyes
You won't judge me, wrong or right

When you smile slightly crooked
That's your style, don't you fix it
Girl you got a hold on me
Don't wanna play no games, this is do or die
And I don't mind if you get comfortable and gain a little weight
'Cause you're so fine, and just like whine you get a little better everyday

You're the only one, you're the only one
You're the only one, you're the only one
My baby

You just my style, don't you fix it

You're the only one, you're the only one
You're the only one, you're the only one
My baby",Uno
Elijah Harris,"To believe
Or not to believe
That is the question
It just takes a street degree
You've lied your last lie
And I've cried my last cry
I'm out the door, babe
There's other fish in the sea

Girl, make a list
Go out and find yourself a new bad thing
Girl, you need a trip
'Cause he's not worth the misery and pain
Just remember how he would tell you lies
And then pretend that everything is so sweet
Why should you sacrifice
If you're not satisfied
He's just a canine runnin' 'round in heat

Girlfriend
How could you let him treat you so bad, oh
Girlfriend
You know you were the best he ever had, oh, oh, oh
Girlfriend
How could you let him treat you so bad, oh
Girlfriend
You know you were the best he ever had, oh, oh, oh

Girl, you must resist
Don't let him squirm his way into your heart
No, girl, I must insist
You've got to stop the fool before he starts
Just remember how he was so untrue
With all the tacky things he did to you
No need to signify
'Cause he's not worth your time
You need to find someone that's true to you

Girlfriend
How could you let him treat you so bad, oh
Girlfriend
You know you were the best he ever had, oh, oh, oh
Girlfriend
How could you let him treat you so bad (baby don't be sad, no)
Girlfriend
You know you were the best he ever had, oh, oh, oh

To believe
Or not to believe
That is the question
It just takes a street degree
You've lied your last lie
And I've cried my last cry
I'm out the door, babe
There's other fish in the sea

Cute (cute, cute, cute)

Hey Deele, sing

To believe
Or not to believe
That is the question
It just takes a street degree
You've lied your last lie
And I've cried my last cry
I'm out the door, babe
There's other fish in the sea

Girlfriend How could you let him treat you so bad
Girlfriend
You know you were the best he ever had

Girlfriend
How could you let him treat you so bad, oh
Girlfriend
You know you were the best he ever had, oh, oh, oh
Girlfriend
How could you let him treat you so bad (baby don't be sad, no)
Girlfriend
You know you were the best he ever had, oh, oh, oh

Don't let him put you down
Girl, he's been messing around
You've been used, abused
Baby, make your move
You've learned your lesson now
So turn this hurt around
You ain't no fool, 'cause you've got to bust loose

Girlfriend
How could you let him treat you so bad, oh
Girlfriend
You know you were the best he ever had, oh, oh, oh

Don't let him put you down
Girl, he's been messing around
You've been used, abused
Baby, make your move
You've learned your lesson now
So turn this hurt around
Don't be no fool, 'cause you've got to bust loose",Girlfriend (Main)
Elijah Levi,"No one here can love or understand me
Oh, what hard luck stories they all hand me
Pack up all my cares and woe, here I go, winging low
Bye, bye, blackbird

Where somebody waits for me
Sugar's sweet, so is she
Bye, bye, blackbird

No one here can love or understand me
Oh, what hard luck stories they all hand me
Make my bed and light the light, I'll arrive late tonight
Blackbird, bye, bye

Bye, bye, blackbird
Where somebody waits for me
Sugar's sweet, so is she
Bye, bye, blackbird

No one here can love or understand me
Oh what hard luck stories they all hand me
Make my bed and light the light, I'll arrive late tonight
Blackbird, bye, bye",Bye Bye Blackbird
Elijah Levi,"Lullaby of Birdland, that's what I 
Always hear when you sigh
Never in my wordland 
Could there be ways to reveal
In a phrase how I feel

Have you ever heard two turtle doves
Bill and coo when they love?
That's the kind of magic 
Music we make with our lips when we kiss

And there's a weepy old willow
He really knows how to cry
That's how I'd cry in my pillow
If you should tell me farewell and goodbye

Lullaby of Birdland whisper low
Kiss me sweet and we'll go
Flyin' high in Birdland
High in the sky up above
All because we're in love",Lullaby of Birdland
Elijah Levi,"I hate to see that evening sun go down
I hate to see that evening sun go down
Cause my baby, he's gone left this town

Feelin' tomorrow like I feel today
If I'm feelin' tomorrow like I feel today
I'll pack my truck and make my give-a-way

St. Louis woman with her diamond ring
Pulls that man around by her, if it wasn't for her and her
That man I love would have gone nowhere, nowhere

I got the St. Louis blues, blues as I can be
That man's got a heart like a rock cast in the sea
Or else he wouldn't have gone so far from me

I love my baby like a school boy loves his pie
Like a Kentucky colonel loves his mint 'n rye
I love my man till the day I die",St. Louis Blues
